Graph,Node,Avg RMSE,SD RMSE
Graph0.grf,0,4.3199312,0.30763509241723386
Graph1.grf,6,3.172524400000001,0.24182624100506545
Graph2.grf,0,4.2904475,0.27165916683732577
Graph3.grf,7,3.2057434000000007,0.21871991953738465
Graph4.grf,20,4.0862706,0.27989557236162194
Graph5.grf,0,4.3528248,0.331823217811774
Graph6.grf,0,4.320668,0.2760544294084049
Graph7.grf,0,4.3225719,0.272584424704329
Graph8.grf,0,4.337304,0.30698526663994796
Graph9.grf,0,4.318178199999999,0.26228185093284667
Graph10.grf,27,3.4625707,0.29009895060911545
Graph11.grf,1,4.380765799999999,0.28827017673765704
Graph12.grf,0,4.3859892,0.2723509662464226
Graph13.grf,0,4.3078803,0.25115058918288446
Graph14.grf,5,3.1901916999999997,0.2079807087595145
Graph15.grf,0,4.381668900000001,0.27751429861142296
Graph16.grf,0,4.3249619,0.2644036233401313
Graph17.grf,0,4.3726818000000005,0.2763121728168341
Graph18.grf,0,4.579807199999999,0.2566455797362581
Graph19.grf,4,3.9746753999999993,0.30569235834551045
Graph20.grf,0,4.4280572,0.22707237112022235
Graph21.grf,3,4.330489399999999,0.4192627215024488
Graph22.grf,6,3.1985836,0.24891326882076822
Graph23.grf,0,4.282451,0.28653656368254293
Graph24.grf,2,4.3836784,0.3102464465798762
Graph25.grf,2,3.1698267,0.25610533400948526
Graph26.grf,0,4.3290074,0.30806415784579677
Graph27.grf,0,4.3872194,0.24256809592697884
Graph28.grf,0,4.2677187,0.29800880260373186
Graph29.grf,2,4.3909072,0.3197637505568134
